,actual,prediction
211,-4.235367,-4.746304
212,-4.1883106,-4.321545
213,-4.2290955,-4.771791
214,-4.7923017,-4.576916
215,-4.879649,-4.7736564
216,-4.8542013,-4.690811
217,-4.6743093,-4.339092
218,-4.7625847,-4.7152686
219,-4.5064597,-4.2495656
220,-4.316894,-4.145223
221,-4.1964974,-4.254281
222,-4.188025,-4.5084186
223,-4.1513815,-4.4338036
224,-4.155525,-4.733764
225,-4.2053795,-4.710859
226,-4.2026253,-4.689463
227,-4.324441,-4.73649
228,-4.6340566,-4.6819625
229,-4.9951634,-4.7736006
230,-5.1376777,-4.734408
231,-5.303258,-4.6099505
232,-5.2912765,-4.7211556
233,-5.3541636,-4.773791
234,-5.2781377,-4.6123524
235,-5.292086,-4.751529
236,-5.3339977,-4.724708
237,-5.3253646,-4.765086
238,-5.2878056,-4.695605
239,-5.465242,-4.7701316
240,-5.5341167,-4.769542
241,-5.43677,-4.7033715
242,-5.522397,-4.675002
243,-5.552937,-4.7714014
244,-5.636836,-4.773449
245,-5.5030537,-4.6832423
246,-5.602469,-4.758466
247,-5.403038,-4.63007
248,-5.390077,-4.7583594
249,-5.4587827,-4.759478
250,-5.5149055,-4.7154446
251,-5.296014,-4.5843973
252,-5.2768464,-4.752836
253,-5.187909,-4.5765457
254,-5.1170874,-4.658832
255,-5.194252,-4.737958
256,-5.188876,-4.7513704
257,-5.197689,-4.770896
258,-5.227038,-4.752049
259,-5.4083285,-4.768539
260,-5.433814,-4.7737746
261,-5.762632,-4.7695117
262,-5.9677014,-4.728624
263,-6.016506,-4.750759
264,-5.9228106,-4.72564
265,-5.849626,-4.7471614
266,-5.761612,-4.7184987
267,-4.9845243,-4.2911897
268,-4.9797664,-4.764372
269,-4.980243,-4.770458
270,-4.997608,-4.762481
271,-5.0015097,-4.7582054
272,-5.0225496,-4.7648106
273,-5.0295715,-4.759872
274,-4.933259,-4.534965
275,-5.353899,-4.6127853
276,-5.099672,-4.473003
277,-4.218103,-3.9340444
278,-4.2090807,-4.6795497
279,-4.2055316,-4.7251687
280,-4.1863766,-4.5824094
281,-4.187598,-4.771713
282,-4.205582,-4.698621
283,-4.172755,-4.3652663
284,-4.1984406,-4.702746
285,-4.986691,-4.7550945
286,-4.6950903,-4.2760363
287,-4.633984,-4.5096273
288,-4.6606817,-4.685492
289,-4.6607776,-4.772073
290,-4.3974233,-4.203654
291,-4.222406,-4.142409
292,-4.2005506,-4.512859
293,-4.192619,-4.6796675
294,-4.2870574,-4.7291555
295,-3.9277873,-3.8852522
296,-3.8098977,-4.0800858
297,-3.7627425,-4.254125
298,-3.8006158,-4.3393545
299,-3.857745,-4.308738
300,-3.741946,-4.0295835
301,-3.7376988,-4.5789733
302,-3.7373626,-4.721147
303,-3.967953,-4.726477
304,-4.1409426,-4.7180724
305,-4.243708,-4.740358
306,-4.2520194,-4.3641996
307,-4.3210254,-4.64432
308,-4.8871055,-4.57293
309,-4.9398546,-4.698621
310,-4.9458647,-4.7339954
311,-4.9672465,-4.7709546
312,-4.9803596,-4.7444253
313,-4.9669976,-4.713499
314,-4.9461737,-4.3490124
315,-4.9363184,-4.623183
316,-4.8166804,-4.3595986
317,-4.8153105,-4.6948476
318,-4.653246,-4.333881
319,-4.630026,-4.6802745
320,-4.5450974,-4.4099855
321,-4.5576925,-4.772411
322,-4.6807694,-4.7536817
323,-4.6532326,-4.5294585
324,-4.7998815,-4.765101
325,-4.795816,-4.6832314
326,-4.7854652,-4.325463
327,-4.7852287,-4.679582
