open,high,low,close,log_return,volatility,log_volatility
45465.0,45499.0,45238.0,45238.0,-0.004785383968030743,0.006500179585660123,-5.035925473899097
45222.0,45327.0,45177.0,45210.0,-0.000619140299276566,0.006446715622878282,-5.0441844836190235
45220.0,45331.0,45173.0,45305.0,0.002099100367511042,0.006442585221889712,-5.044825387447664
45278.0,45542.0,45251.0,45523.0,0.00480029106906521,0.006447544107194025,-5.044055979255962
45521.0,45870.0,45353.0,45822.0,0.00654663239121156,0.006477292737640083,-5.039452643316632
45804.0,45863.0,45709.0,45717.0,-0.0022941051584677297,0.006570568719373071,-5.025154887161486
45706.0,45719.0,45509.0,45509.0,-0.004560111381401555,0.006745750441564439,-4.998842536569124
45597.0,45680.0,45301.0,45450.0,-0.0012972879709440832,0.00670711360619525,-5.004586583556321
45447.0,45549.0,45333.0,45333.0,-0.0025775765237554538,0.0067905002944079786,-4.992230659064275
45350.0,45713.0,45350.0,45655.0,0.0070778859685702855,0.0068372429362978425,-4.985370708094656
45698.0,45813.0,45381.0,45393.0,-0.005755221930758836,0.006978350443459684,-4.964942716289174
45235.0,45322.0,44949.0,45310.0,-0.0018301494584971323,0.007029770332003702,-4.957601243393969
45204.0,45365.0,44929.0,45354.0,0.0009706168590479791,0.006988447737117247,-4.963496816479332
45395.0,45395.0,45001.0,45001.0,-0.007813663792463288,0.007298455093370574,-4.920092584269915
44975.0,45258.0,44973.0,45230.0,0.005075871744120164,0.007219191142140506,-4.9310123625276825
45220.0,45220.0,44911.0,45119.0,-0.0024571396661219325,0.0071572339561017054,-4.939631691630179
45050.0,45142.0,44844.0,44844.0,-0.006113643532282609,0.007291285706132237,-4.921075382787576
44833.0,45068.0,44717.0,45051.0,0.004605381074906489,0.007289439499993847,-4.9213286220636965
45123.0,45235.0,44953.0,45034.0,-0.00037742132878548773,0.007244014112637415,-4.927579790779887
44986.0,45036.0,44844.0,44995.0,-0.0008663875515573238,0.006566189932609621,-5.025821533636712
44952.0,45176.0,44893.0,45176.0,0.0040145998846252695,0.005007135260410434,-5.2968913317370685
45149.0,45336.0,45149.0,45336.0,0.0035354464967820576,0.004791031419193084,-5.341009563141231
45320.0,45415.0,45259.0,45259.0,-0.0016998734707520669,0.004247194160626604,-5.461496711571746
45288.0,45322.0,45187.0,45222.0,-0.0008178513071790405,0.004164522149328665,-5.481153739998445
45273.0,45281.0,45162.0,45170.0,-0.0011505444228738781,0.004055724022711803,-5.507626056745895
45189.0,45302.0,45174.0,45203.0,0.0007303066505848221,0.0040570279351227695,-5.507304609121472
45198.0,45366.0,45179.0,45366.0,0.0035994694870904453,0.004102191687819314,-5.496233890092373
45323.0,45379.0,45019.0,45036.0,-0.007300755863305142,0.004235240799490879,-5.464315093110614
45046.0,45192.0,45046.0,45128.0,0.002040726496790768,0.004005315353278394,-5.520132961666882
45226.0,45469.0,45226.0,45421.0,0.006471656730090203,0.004240306902602731,-5.463119629668424
45340.0,45399.0,45052.0,45127.0,-0.0064938161672412065,0.004342495612349628,-5.439306070246824
45158.0,45158.0,44214.0,44214.0,-0.020439255987605875,0.00597488903762268,-5.120189752446166
43731.0,43731.0,41805.0,42679.0,-0.0353344850319246,0.009191191894829878,-4.689509656265749
42738.0,42738.0,42458.0,42509.0,-0.003991177763719378,0.008963874231996431,-4.714552753485866
42480.0,42480.0,42132.0,42299.0,-0.004952373106425156,0.008954540461894738,-4.715594561157511
42253.0,42770.0,42253.0,42770.0,0.0110734771279688,0.009400445096671858,-4.6669982401174055
42989.0,43452.0,42950.0,43037.0,0.006223288583141695,0.009542496863174882,-4.652000102066454
43031.0,43031.0,42714.0,42746.0,-0.0067845870683402865,0.009518386622500565,-4.654529916967338
42859.0,43030.0,42263.0,42263.0,-0.011363624970313069,0.009567770225810705,-4.649355096923133
42272.0,42774.0,42272.0,42606.0,0.008083089644706831,0.009823963554242652,-4.622930617453659
42595.0,42841.0,42586.0,42780.0,0.004075615226247109,0.00987598076738164,-4.617649654910807
42779.0,42962.0,42623.0,42962.0,0.004245300397526464,0.009865836219698937,-4.618677376784861
42916.0,42938.0,42676.0,42746.0,-0.005040380298167335,0.00987884482150562,-4.617359694958372
42712.0,42822.0,42641.0,42822.0,0.0017763654633675685,0.009908721012502952,-4.614339999261563
42863.0,42971.0,42858.0,42899.0,0.0017965264219927946,0.00985979839407641,-4.619289557424857
42942.0,42942.0,42675.0,42713.0,-0.004345192091077976,0.00979305233939091,-4.626082089686026
42745.0,43096.0,42745.0,43075.0,0.008439458866092764,0.01004381161340997,-4.600798593994709
43210.0,43210.0,43042.0,43150.0,0.0017396351154435052,0.010071102118923736,-4.598085132468438
43113.0,43207.0,43011.0,43176.0,0.0006023677869038124,0.010083532568595371,-4.596851624499628
43187.0,43266.0,43120.0,43166.0,-0.00023163697956185558,0.01007460871798465,-4.597737008828154
43213.0,43255.0,43136.0,43182.0,0.0003705934169424552,0.010019085606329218,-4.603263444342939
43198.0,43198.0,42907.0,42907.0,-0.006388758967382557,0.010000039285419957,-4.605166257453802
42844.0,42981.0,42807.0,42911.0,9.322053655047569e-05,0.009973540671972503,-4.607819625457999
42879.0,43083.0,42879.0,43057.0,0.003396615958655147,0.009877943786575782,-4.6174509076497
43065.0,43132.0,42820.0,43087.0,0.0006965082005194745,0.009851913982600899,-4.62008952972004
43109.0,43243.0,43011.0,43197.0,0.0025497209121798647,0.009059521850781665,-4.703938936171846
43199.0,43417.0,43199.0,43417.0,0.005080021084836517,0.0054186502449141034,-5.2179085268479275
